Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 78.10355
1.0625E-5 ; 75.77897
1.125E-5 ; 73.65112
1.1875E-5 ; 71.69374
1.25E-5 ; 69.88523
1.375E-5 ; 66.64597
1.5E-5 ; 63.82111
1.625E-5 ; 61.32931
1.75E-5 ; 59.10993
1.875E-5 ; 57.11676
2.0E-5 ; 55.31385
2.1875E-5 ; 52.90562
2.375E-5 ; 50.78915
2.5625E-5 ; 48.91
2.75E-5 ; 47.22696
2.9375E-5 ; 45.7082
3.125E-5 ; 44.32868
3.3125E-5 ; 43.06837
3.5E-5 ; 41.91109
3.875E-5 ; 39.85474
4.25E-5 ; 38.078
4.625E-5 ; 36.52289
5.0E-5 ; 35.14702
5.3125E-5 ; 34.11411
5.625E-5 ; 33.16898
5.9375E-5 ; 32.2999
6.25E-5 ; 31.49724
6.875E-5 ; 30.0604
7.5E-5 ; 28.80835
8.125E-5 ; 27.70477
8.75E-5 ; 26.72261
9.375E-5 ; 25.84124
1.0E-4 ; 25.04462
1.0625E-4 ; 24.32006
1.125E-4 ; 23.6574
1.1875E-4 ; 23.04835
1.25E-4 ; 22.48612
1.375E-4 ; 21.48037
1.5E-4 ; 20.60482
1.625E-4 ; 19.83382
1.75E-4 ; 19.14831
1.875E-4 ; 18.53372
2.0E-4 ; 17.97875
2.1875E-4 ; 17.23903
2.375E-4 ; 16.5906
2.5625E-4 ; 16.01635
2.75E-4 ; 15.50334
2.9375E-4 ; 15.04159
3.125E-4 ; 14.62323
3.3125E-4 ; 14.24199
3.5E-4 ; 13.8928
3.875E-4 ; 13.27464
4.25E-4 ; 12.74321
4.625E-4 ; 12.28038
5.0E-4 ; 11.87292
5.3125E-4 ; 11.56842
5.625E-4 ; 11.29093
5.9375E-4 ; 11.03682
6.25E-4 ; 10.80307
6.875E-4 ; 10.38713
7.5E-4 ; 10.02758
8.125E-4 ; 9.713178
8.75E-4 ; 9.435558
9.375E-4 ; 9.188364
0.001 ; 8.966659
0.0010625 ; 8.766552
0.001125 ; 8.584922
0.0011875 ; 8.419241
0.00125 ; 8.26743
0.001375 ; 7.998814
0.0015 ; 7.768342
0.001625 ; 7.568269
0.00175 ; 7.392851
0.001875 ; 7.237732
0.002 ; 7.09954
0.0021875 ; 6.918337
0.002375 ; 6.762542
0.0025625 ; 6.627143
0.00275 ; 6.50838
0.0029375 ; 6.40337
0.003125 ; 6.309862
0.0033125 ; 6.226077
0.0035 ; 6.150582
0.003875 ; 6.020024
0.00425 ; 5.911125
0.004625 ; 5.81896
0.005 ; 5.739989
0.0053125 ; 5.682353
0.005625 ; 5.630892
0.0059375 ; 5.584677
