Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 55.00784
1.0625E-5 ; 53.37238
1.125E-5 ; 51.87538
1.1875E-5 ; 50.49836
1.25E-5 ; 49.22611
1.375E-5 ; 46.94746
1.5E-5 ; 44.96045
1.625E-5 ; 43.20783
1.75E-5 ; 41.64692
1.875E-5 ; 40.24519
2.0E-5 ; 38.97735
2.130857E-5 ; 37.77184
2.261713E-5 ; 36.67283
2.392569E-5 ; 35.66553
2.523425E-5 ; 34.7379
2.785138E-5 ; 33.08345
3.04685E-5 ; 31.64782
3.308563E-5 ; 30.38679
3.570275E-5 ; 29.26769
3.831988E-5 ; 28.26583
4.0937E-5 ; 27.36216
4.320275E-5 ; 26.64744
4.54685E-5 ; 25.98713
5.0E-5 ; 24.80467
5.3125E-5 ; 24.07951
5.625E-5 ; 23.41609
5.9375E-5 ; 22.80615
6.25E-5 ; 22.24291
6.875E-5 ; 21.2349
7.5E-5 ; 20.35681
8.125E-5 ; 19.5831
8.75E-5 ; 18.89473
9.375E-5 ; 18.27719
1.0E-4 ; 17.71921
1.0625E-4 ; 17.21187
1.125E-4 ; 16.74802
1.1875E-4 ; 16.32183
1.25E-4 ; 15.92852
1.375E-4 ; 15.22529
1.5E-4 ; 14.61348
1.625E-4 ; 14.07506
1.75E-4 ; 13.59663
1.875E-4 ; 13.16797
2.0E-4 ; 12.78113
2.132013E-4 ; 12.41107
2.264025E-4 ; 12.07477
2.396038E-4 ; 11.76748
2.52805E-4 ; 11.48533
2.792075E-4 ; 10.98428
3.0561E-4 ; 10.55193
3.320125E-4 ; 10.17422
3.58415E-4 ; 9.84081
3.848175E-4 ; 9.543873
4.1122E-4 ; 9.277396
4.5561E-4 ; 8.885429
5.0E-4 ; 8.549795
5.05E-4 ; 8.514958
5.204688E-4 ; 8.410583
5.359375E-4 ; 8.311056
5.66875E-4 ; 8.125184
5.978125E-4 ; 7.954937
6.2875E-4 ; 7.798334
6.90625E-4 ; 7.519719
7.525E-4 ; 7.279007
8.14375E-4 ; 7.068686
8.7625E-4 ; 6.883158
9.38125E-4 ; 6.718153
0.001 ; 6.570348
0.0010625 ; 6.435841
0.001125 ; 6.314041
0.0011875 ; 6.20319
0.00125 ; 6.101847
0.001375 ; 5.923108
0.0015 ; 5.770397
0.001625 ; 5.638363
0.00175 ; 5.523047
0.001875 ; 5.421451
0.002 ; 5.331263
0.002127344 ; 5.249234
0.002254688 ; 5.17563
0.002382032 ; 5.109223
0.002509375 ; 5.049013
0.002764063 ; 4.944034
0.00301875 ; 4.855625
0.003273438 ; 4.780187
0.003528125 ; 4.715089
0.003782813 ; 4.658366
