Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 55.0174
1.0625E-5 ; 53.38166
1.125E-5 ; 51.88439
1.1875E-5 ; 50.50713
1.25E-5 ; 49.23466
1.375E-5 ; 46.95561
1.5E-5 ; 44.96826
1.625E-5 ; 43.21533
1.75E-5 ; 41.65415
1.875E-5 ; 40.25217
2.0E-5 ; 38.98411
2.130857E-5 ; 37.77839
2.261713E-5 ; 36.67918
2.392569E-5 ; 35.67171
2.523425E-5 ; 34.74391
2.785138E-5 ; 33.08918
3.04685E-5 ; 31.65329
3.308563E-5 ; 30.39204
3.570275E-5 ; 29.27275
3.831988E-5 ; 28.27071
4.0937E-5 ; 27.36688
4.320275E-5 ; 26.65203
4.54685E-5 ; 25.99162
5.0E-5 ; 24.80894
5.3125E-5 ; 24.08366
5.625E-5 ; 23.42012
5.9375E-5 ; 22.81007
6.25E-5 ; 22.24674
6.875E-5 ; 21.23855
7.5E-5 ; 20.36031
8.125E-5 ; 19.58645
8.75E-5 ; 18.89796
9.375E-5 ; 18.28031
1.0E-4 ; 17.72223
1.0625E-4 ; 17.2148
1.125E-4 ; 16.75087
1.1875E-4 ; 16.3246
1.25E-4 ; 15.93122
1.375E-4 ; 15.22787
1.5E-4 ; 14.61594
1.625E-4 ; 14.07743
1.75E-4 ; 13.59891
1.875E-4 ; 13.17017
2.0E-4 ; 12.78327
2.132013E-4 ; 12.41314
2.264025E-4 ; 12.07678
2.396038E-4 ; 11.76943
2.52805E-4 ; 11.48723
2.792075E-4 ; 10.98609
3.0561E-4 ; 10.55366
3.320125E-4 ; 10.17588
3.58415E-4 ; 9.842407
3.848175E-4 ; 9.545415
4.1122E-4 ; 9.278887
4.5561E-4 ; 8.886846
5.0E-4 ; 8.551147
5.05E-4 ; 8.516303
5.204688E-4 ; 8.411908
5.359375E-4 ; 8.312362
5.66875E-4 ; 8.126453
5.978125E-4 ; 7.956173
6.2875E-4 ; 7.799539
6.90625E-4 ; 7.52087
7.525E-4 ; 7.280109
8.14375E-4 ; 7.069746
8.7625E-4 ; 6.88418
9.38125E-4 ; 6.71914
0.001 ; 6.571304
0.0010625 ; 6.436769
0.001125 ; 6.314943
0.0011875 ; 6.204067
0.00125 ; 6.102702
0.001375 ; 5.923923
0.0015 ; 5.771178
0.001625 ; 5.639113
0.00175 ; 5.523769
0.001875 ; 5.42215
0.002 ; 5.331939
0.002127344 ; 5.249889
0.002254688 ; 5.176266
0.002382032 ; 5.109842
0.002509375 ; 5.049617
0.002764063 ; 4.944609
0.00301875 ; 4.856176
0.003273438 ; 4.780715
0.003528125 ; 4.715598
0.003782813 ; 4.658857
